terrain,site,source_column,oxide,composition_wt_pct
mare,Apollo 11,11,TiO₂,7.8
mare,Apollo 11,11,Al₂O₃,13.6
mare,Apollo 11,11,FeO,15.3
mare,Apollo 11,11,MgO,7.8
mare,Apollo 12,12,TiO₂,3.0
mare,Apollo 12,12,Al₂O₃,12.9
mare,Apollo 12,12,FeO,15.1
mare,Apollo 12,12,MgO,9.3
mare,Apollo 17,17,TiO₂,4.2
mare,Apollo 17,17,Al₂O₃,17.1
mare,Apollo 17,17,FeO,12.2
mare,Apollo 17,17,MgO,10.4
highlands,Apollo 14,14,TiO₂,1.7
highlands,Apollo 14,14,Al₂O₃,17.4
highlands,Apollo 14,14,FeO,10.4
highlands,Apollo 14,14,MgO,9.4
highlands,Apollo 16,16,TiO₂,0.54
highlands,Apollo 16,16,Al₂O₃,27.3
highlands,Apollo 16,16,FeO,5.1
highlands,Apollo 16,16,MgO,5.7
highlands,Luna 20,L20,TiO₂,0.55
highlands,Luna 20,L20,Al₂O₃,22.3
highlands,Luna 20,L20,FeO,7.0
highlands,Luna 20,L20,MgO,9.8
